trial,conv1_filters,conv2_filters,cnn_lstm_hidden,cnn_lstm_layers,path_a_dropout,n_params,best_epoch,train_time_s,val_rmse_1to12,val_rmse_all,test_rmse_1to12,test_rmse_all,test_mae_all
23,64,128,32,1,0.148,382240,5,34.9,270.79,386.3,368.64,418.92,283.0
5,128,192,32,1,0.31,441248,6,38.3,272.68,380.02,352.97,409.8,273.98
13,48,192,128,1,0.437,530256,4,35.1,272.89,384.46,364.22,418.17,284.54
30,96,128,50,1,0.458,410808,10,46.7,272.99,383.43,364.1,415.82,285.6
17,128,256,128,1,0.166,635744,6,41.6,273.97,385.54,371.51,422.9,282.52
27,128,256,64,1,0.192,519776,4,34.4,274.61,379.73,355.99,412.15,275.8
7,64,192,100,2,0.287,573072,9,51.1,274.73,396.02,378.41,423.61,285.08
2,48,128,64,1,0.446,405008,5,34.6,275.13,374.69,353.84,410.51,280.13
8,128,256,128,1,0.126,635744,7,44.0,275.67,390.96,374.1,418.65,285.22
9,96,192,100,2,0.423,592304,5,52.5,275.77,387.6,385.75,423.64,293.18
24,64,128,128,2,0.194,626848,6,43.2,276.01,392.0,399.14,431.37,299.08
11,96,192,128,2,0.114,691200,5,41.3,276.08,393.02,372.3,422.61,283.2
22,32,256,64,2,0.355,476928,6,39.3,276.14,385.68,390.46,424.37,300.65
10,32,96,128,2,0.374,594272,7,45.9,276.2,384.52,368.71,416.27,282.31
4,48,192,128,1,0.222,530256,3,32.3,276.6,380.22,356.18,412.62,278.76
26,64,128,100,1,0.303,454320,6,38.9,277.57,387.82,367.26,419.58,280.79
14,96,192,50,2,0.471,462504,6,39.3,277.81,381.71,355.87,413.17,283.28
15,96,192,128,2,0.399,691200,9,52.4,277.87,402.04,382.45,424.23,287.05
20,32,128,128,2,0.243,613760,6,43.0,278.26,379.99,356.59,411.72,282.04
3,96,128,128,2,0.389,639936,7,45.8,279.42,383.36,363.19,413.81,282.59
18,32,64,32,2,0.217,363200,7,39.6,279.49,384.75,372.25,419.91,285.85
16,128,256,32,2,0.343,482528,9,47.7,279.79,384.53,357.5,412.11,280.31
19,64,128,32,2,0.392,390688,10,47.2,280.55,392.23,371.26,419.23,282.91
6,48,192,100,2,0.193,563456,4,37.6,280.71,386.33,358.08,417.69,279.21
28,64,128,100,2,0.35,535120,4,37.3,280.71,403.42,382.98,431.2,290.41
21,32,192,32,2,0.28,392000,9,45.2,280.79,390.93,359.84,416.43,280.17
12,32,192,50,2,0.402,424040,6,38.6,281.13,386.9,357.41,409.84,282.83
25,64,128,50,2,0.276,418120,6,38.2,281.25,384.83,363.84,417.02,283.0
1,96,256,64,2,0.339,527680,10,49.6,281.44,393.97,379.29,423.41,284.49
29,32,256,100,2,0.187,585648,5,41.4,282.4,390.13,363.59,420.02,282.85
