trial,conv1_filters,conv2_filters,cnn_lstm_hidden,cnn_lstm_layers,path_a_dropout,n_params,best_epoch,train_time_s,val_rmse_1to12,val_rmse_all,test_rmse_1to12,test_rmse_all,test_mae_all
1,96,256,64,2,0.339,527680,10,50.7,281.2,353.02,389.16,428.19,293.64
2,48,128,64,1,0.446,405008,5,34.7,275.2,335.2,351.79,410.4,282.97
3,96,128,128,2,0.389,639936,3,35.8,280.94,343.39,353.64,413.59,278.19
4,48,192,128,1,0.222,530256,5,37.3,273.93,341.2,363.84,422.42,294.36
5,128,192,32,1,0.31,441248,9,45.6,271.03,334.55,346.04,409.1,284.45
6,48,192,100,2,0.193,563456,3,35.1,278.7,344.42,361.24,420.97,283.21
7,64,192,100,2,0.287,573072,6,43.6,279.37,344.84,374.93,422.76,290.35
8,128,256,128,1,0.126,635744,5,38.5,277.28,349.11,387.61,430.27,292.08
9,96,192,100,2,0.423,592304,4,38.3,280.46,344.78,360.31,413.96,283.54
10,32,96,128,2,0.374,594272,13,61.6,276.19,350.67,406.15,432.89,297.69
11,96,192,128,2,0.114,691200,5,41.5,278.27,348.15,380.54,425.21,289.99
12,32,192,50,2,0.402,424040,6,38.7,282.52,350.57,364.02,420.16,294.77
13,48,192,128,1,0.437,530256,4,35.1,272.73,341.32,362.02,416.05,288.71
14,96,192,50,2,0.471,462504,12,54.1,273.02,339.72,368.68,420.77,287.8
15,96,192,128,2,0.399,691200,8,50.1,278.35,357.72,398.57,433.93,301.51
16,128,256,32,2,0.343,482528,12,54.2,279.21,347.03,383.75,429.1,294.79
17,128,256,128,1,0.166,635744,6,41.5,271.42,348.09,382.94,423.32,291.66
18,32,64,32,2,0.217,363200,12,51.3,278.03,347.37,375.09,424.54,289.19
19,64,128,32,2,0.392,390688,9,44.8,277.17,344.06,360.36,410.89,287.37
20,32,128,128,2,0.243,613760,3,35.1,284.58,340.23,359.28,418.21,287.15
21,32,192,32,2,0.28,392000,5,35.6,282.05,342.12,360.41,416.43,285.07
22,32,256,64,2,0.355,476928,4,34.2,279.87,340.77,368.68,419.87,290.58
23,64,128,32,1,0.148,382240,4,32.6,278.5,342.91,343.13,406.85,282.78
24,64,128,128,2,0.194,626848,4,38.0,279.82,338.29,363.61,416.06,289.31
25,64,128,50,2,0.276,418120,2,28.8,283.25,351.57,361.76,416.49,291.57
26,64,128,100,1,0.303,454320,5,36.9,276.65,346.16,370.96,420.92,292.17
27,128,256,64,1,0.192,519776,3,31.7,275.14,342.76,357.48,421.82,291.45
28,64,128,100,2,0.35,535120,7,45.9,276.6,348.67,379.75,428.14,296.07
29,32,256,100,2,0.187,585648,4,38.3,281.02,349.12,368.68,419.36,284.35
30,96,128,50,1,0.458,410808,16,61.5,272.62,348.25,376.6,419.71,291.12
