number,value,datetime_start,datetime_complete,duration,params_cnn_out,params_dropout_a,params_dropout_b,params_fc_hidden,params_fluct_hidden,params_lr,params_lstm_hidden_a,params_n_filters1,params_n_filters2,params_n_layers,params_trend_hidden,params_weight_decay,user_attrs_best_epoch,user_attrs_n_params,user_attrs_time_s,state
0,,2026-06-21 00:58:48.853620,,,16,0.39279757672456206,0.4394633936788146,32,96,0.0001025350969016849,16,96,128,2,256,0.0007969454818643932,,,,RUNNING
1,,2026-06-21 01:36:12.478518,2026-06-21 01:36:12.855432,0 days 00:00:00.376914,16,0.39279757672456206,0.4394633936788146,32,96,0.0001025350969016849,16,96,128,2,256,0.0007969454818643932,,,,FAIL
2,,2026-06-21 01:36:40.151635,2026-06-21 01:36:40.412311,0 days 00:00:00.260676,16,0.39279757672456206,0.4394633936788146,32,96,0.0001025350969016849,16,96,128,2,256,0.0007969454818643932,,,,FAIL
3,,2026-06-21 01:38:42.989935,2026-06-21 01:38:43.229960,0 days 00:00:00.240025,16,0.39279757672456206,0.4394633936788146,32,96,0.0001025350969016849,16,96,128,2,256,0.0007969454818643932,,,,FAIL
4,415.9560711481442,2026-06-21 02:11:29.884315,2026-06-21 02:13:42.627876,0 days 00:02:12.743561,16,0.39279757672456206,0.4394633936788146,32,96,0.0001025350969016849,16,96,128,2,256,0.0007969454818643932,6.0,968512.0,122.3,COMPLETE
5,524.1886587861283,2026-06-21 02:13:42.686114,2026-06-21 02:14:14.126393,0 days 00:00:31.440279,8,0.17272998688284025,0.27336180394137355,64,96,0.001764971584817572,32,128,256,1,128,2.6587543983272695e-05,1.0,261672.0,31.2,COMPLETE
6,453.86771888954604,2026-06-21 02:14:14.156393,2026-06-21 02:14:50.604084,0 days 00:00:36.447691,14,0.1798695128633439,0.4056937753654446,128,32,0.00017018418817029164,48,192,96,2,96,0.00037183641805732076,2.0,252898.0,36.2,COMPLETE
7,502.39953908716916,2026-06-21 02:14:50.629097,2026-06-21 02:16:32.810955,0 days 00:01:42.181858,10,0.3736932106048628,0.37606099749584054,64,64,6.639623079859457e-05,16,64,224,2,256,1.5679933916722995e-05,2.0,928358.0,102.0,COMPLETE
8,492.86561619268997,2026-06-21 02:16:32.836956,2026-06-21 02:17:38.882775,0 days 00:01:06.045819,8,0.48783385110582345,0.5100531293444458,32,32,0.00029891977384598987,48,256,352,1,256,2.3426581058204037e-05,1.0,635848.0,65.9,COMPLETE
9,628.9933425720816,2026-06-21 02:17:38.909296,2026-06-21 02:19:11.481566,0 days 00:01:32.572270,6,0.43149500366077176,0.3427013306774357,128,32,0.00011195109511439825,16,96,256,2,224,3.488976654890367e-05,1.0,754410.0,92.4,COMPLETE
10,456.4039637481252,2026-06-21 02:19:11.506535,2026-06-21 02:20:01.378583,0 days 00:00:49.872048,4,0.38274293753904687,0.4916028672163949,64,128,1.0349134435467584e-05,32,224,96,2,64,0.0004274869455295214,7.0,360812.0,49.7,COMPLETE
11,529.5445271646191,2026-06-21 02:20:01.406381,2026-06-21 02:22:27.074040,0 days 00:02:25.667659,10,0.39184247133522565,0.4550229885420852,128,128,6.907675985896193e-05,16,256,224,2,192,4.4706085467784903e-05,3.0,887974.0,145.5,COMPLETE
12,482.540574718852,2026-06-21 02:22:27.102078,2026-06-21 02:23:24.503426,0 days 00:00:57.401348,14,0.11016765069763808,0.24315657079732178,64,128,0.0002575373524861559,32,64,288,1,160,7.162786999897333e-05,2.0,291266.0,57.2,COMPLETE
13,455.6544572096272,2026-06-21 02:23:24.532249,2026-06-21 02:24:40.818959,0 days 00:01:16.286710,10,0.21590058116550723,0.26448851490160175,128,128,4.144950855435078e-05,48,256,352,1,256,1.425475704402744e-05,6.0,741606.0,76.1,COMPLETE
14,523.5182064646845,2026-06-21 02:24:40.845665,2026-06-21 02:26:16.148488,0 days 00:01:35.302823,12,0.31925559415572863,0.4656424971842767,32,64,0.000392846866693306,48,160,160,2,256,0.00045398396282637487,1.0,995044.0,95.1,COMPLETE
15,445.93859933291264,2026-06-21 02:26:16.173527,2026-06-21 02:28:39.823840,0 days 00:02:23.650313,14,0.4177233123926122,0.5421885621415092,32,128,0.00014050581611521094,16,96,192,2,192,0.00020732491535031572,3.0,731362.0,143.5,COMPLETE
16,486.2499035989622,2026-06-21 02:28:39.853966,2026-06-21 02:30:19.012827,0 days 00:01:39.158861,14,0.39680997366424586,0.521409327933666,32,128,0.0005838527379191237,32,96,224,2,160,0.0001444262649788946,1.0,629730.0,98.9,COMPLETE
17,421.986355673972,2026-06-21 02:30:19.038185,2026-06-21 02:32:44.440452,0 days 00:02:25.402267,12,0.4538637978097266,0.46812446867230595,96,96,1.903725189250493e-05,32,160,224,2,256,0.00037506581837530817,11.0,1095396.0,145.2,COMPLETE
18,423.32148318388,2026-06-21 02:32:44.468472,2026-06-21 02:35:17.967167,0 days 00:02:33.498695,12,0.41717583560019067,0.39629234333204677,96,128,2.0378375154626227e-05,32,160,192,2,256,0.0003652753400791305,10.0,1165764.0,153.3,COMPLETE
19,422.5644736309478,2026-06-21 02:35:17.994916,2026-06-21 02:37:57.294980,0 days 00:02:39.300064,12,0.2899411571399643,0.5042456601715254,64,32,2.7560624860872738e-05,16,96,160,2,224,0.0009743151743360607,15.0,701028.0,159.1,COMPLETE
20,446.90412492502236,2026-06-21 02:37:57.318987,2026-06-21 02:38:56.505235,0 days 00:00:59.186248,16,0.394167633254303,0.3062323870788067,32,32,0.0010812997389435394,16,128,128,1,256,0.0005383436973870552,1.0,342752.0,59.0,COMPLETE
21,460.5854291008347,2026-06-21 02:38:56.528551,2026-06-21 02:40:33.788581,0 days 00:01:37.260030,8,0.4991398312967766,0.5034202413559253,64,64,3.0108794616979977e-05,32,160,160,2,224,9.70526891352201e-05,1.0,793320.0,97.1,COMPLETE
22,412.5395814343152,2026-06-21 02:40:33.813987,2026-06-21 02:42:15.339746,0 days 00:01:41.525759,16,0.24335608598462785,0.4344347461853405,32,96,0.00033751055641799226,16,64,96,2,224,0.000968571926585666,2.0,761088.0,101.3,COMPLETE
23,472.2954583732518,2026-06-21 02:42:15.375750,2026-06-21 02:44:17.752296,0 days 00:02:02.376546,12,0.2516612545484533,0.3217607493354026,32,96,0.0009922796375078473,16,64,192,2,192,0.0006763367795871802,1.0,624420.0,122.2,COMPLETE
24,503.92112478045607,2026-06-21 02:44:17.776688,2026-06-21 02:45:55.206253,0 days 00:01:37.429565,14,0.1672519426335799,0.531705044783906,32,64,0.0006510485470796362,16,64,160,2,224,0.0003439057569755674,1.0,714402.0,97.2,COMPLETE
25,436.18287449188097,2026-06-21 02:45:55.232244,2026-06-21 02:47:47.543151,0 days 00:01:52.310907,16,0.23211784049292908,0.5022112033746132,32,128,0.00019192207068069954,48,64,128,2,256,0.0006068178773622957,2.0,1085216.0,112.1,COMPLETE
