trial,alpha,trend_hidden,fluct_hidden,n_layers,path_b_dropout,fc_hidden,n_params,train_time_s,val_rmse_1724,test_rmse_1724,test_mae_1724,test_mae_all,test_r2_all,best_epoch
38,1000,64,192,1,0.145,64,292840,131.0,418.21,494.82,365.32,306.0,0.1937,39
58,1000,64,320,2,0.102,100,1435312,158.7,424.87,463.35,348.21,293.67,0.2816,24
8,1000,192,64,2,0.423,32,613288,166.8,425.96,492.18,369.34,306.19,0.2062,24
39,1000,128,256,2,0.493,100,1140400,165.3,426.85,457.66,344.38,289.3,0.2949,24
55,1000,128,128,3,0.496,50,784396,127.8,427.88,476.91,361.89,300.59,0.2498,27
12,1000,100,256,2,0.391,64,1046280,141.7,428.39,472.13,356.06,298.75,0.2587,20
11,1000,192,320,3,0.437,100,2962608,365.1,430.81,474.52,360.15,300.91,0.252,22
14,1000,64,256,1,0.156,64,412648,89.9,432.6,455.11,331.8,283.0,0.3005,22
9,1000,256,128,3,0.373,100,1798832,203.6,434.22,471.46,356.03,299.57,0.26,19
45,1000,100,192,1,0.19,32,308904,70.9,437.32,480.64,351.92,293.56,0.2377,14
7,2000,256,192,3,0.168,64,2199528,212.4,441.02,456.02,329.89,281.03,0.3036,8
42,2000,128,256,2,0.412,100,1140400,109.5,442.29,457.19,321.63,274.97,0.2994,11
56,2000,100,128,2,0.396,32,436808,48.0,442.34,460.36,328.09,278.13,0.2923,10
23,8000,128,320,1,0.131,64,619496,98.2,442.83,486.66,359.62,298.8,0.2247,21
19,8000,128,256,2,0.455,32,1111976,148.0,442.98,481.38,358.75,298.47,0.2378,21
24,2000,192,128,2,0.423,32,764328,116.9,443.03,460.91,321.15,274.13,0.2897,12
60,2000,192,128,2,0.275,64,775656,97.6,443.15,456.87,324.73,276.75,0.3011,8
10,8000,128,64,2,0.365,50,368012,26.7,443.41,481.81,365.77,304.06,0.2321,5
59,8000,192,64,2,0.418,100,633008,191.4,443.84,482.16,359.29,301.8,0.2257,30
36,2000,192,256,3,0.188,50,2192780,258.7,444.05,462.12,324.52,277.8,0.2861,13
25,8000,192,256,2,0.453,100,1394096,132.1,444.37,482.45,361.33,299.76,0.2333,7
