trial,alpha,trend_hidden,fluct_hidden,n_layers,path_b_dropout,fc_hidden,n_params,train_time_s,val_rmse_1724,test_rmse_1724,test_mae_1724,test_mae_all,test_r2_all,best_epoch
38,1000,64,192,1,0.145,64,292840,114.3,416.07,454.66,335.09,285.88,0.3009,31
14,1000,64,256,1,0.156,64,412648,104.1,417.25,453.16,322.22,276.06,0.3033,28
12,1000,100,256,2,0.391,64,1046280,192.7,425.23,453.14,331.13,281.29,0.3103,29
58,1000,64,320,2,0.102,100,1435312,177.2,426.9,466.18,339.45,287.97,0.2712,28
8,1000,192,64,2,0.423,32,613288,228.0,427.28,455.76,340.52,290.04,0.2917,33
39,1000,128,256,2,0.493,100,1140400,177.5,427.47,457.61,339.33,290.28,0.2897,26
45,1000,100,192,1,0.19,32,308904,128.1,427.53,499.16,369.87,307.49,0.1853,32
9,1000,256,128,3,0.373,100,1798832,238.1,428.37,471.49,362.1,300.93,0.2606,23
11,1000,192,320,3,0.437,100,2962608,381.0,431.99,471.99,363.88,302.12,0.2617,19
29,2000,64,256,1,0.126,50,407692,57.0,442.18,450.63,323.89,276.17,0.3181,11
19,8000,128,256,2,0.455,32,1111976,176.8,442.22,479.98,358.98,300.99,0.2362,26
21,2000,64,128,2,0.276,64,371176,39.7,442.88,458.11,319.03,272.48,0.298,12
10,8000,128,64,2,0.365,50,368012,33.2,442.89,481.73,358.71,298.92,0.2338,9
23,8000,128,320,1,0.131,64,619496,89.1,442.96,486.5,363.85,302.51,0.2215,20
56,2000,100,128,2,0.396,32,436808,47.3,443.13,458.45,324.17,274.63,0.2966,10
59,8000,192,64,2,0.418,100,633008,155.5,443.21,481.14,361.06,299.89,0.2364,19
42,2000,128,256,2,0.412,100,1140400,88.0,443.65,456.58,329.91,280.0,0.2997,8
60,2000,192,128,2,0.275,64,775656,136.0,443.65,455.47,323.65,275.54,0.3046,13
25,8000,192,256,2,0.453,100,1394096,213.6,443.68,482.4,360.77,298.72,0.2313,15
52,8000,256,64,2,0.487,64,972264,225.8,444.01,482.86,356.72,299.37,0.2269,48
50,2000,192,192,1,0.117,100,449200,108.2,444.11,456.66,320.3,274.04,0.3024,13
7,2000,256,192,3,0.168,64,2199528,303.9,444.98,459.47,323.26,275.48,0.2941,14
2,2000,128,192,1,0.34,100,359856,64.9,445.05,457.31,322.21,274.86,0.3015,11
37,2000,128,256,3,0.17,32,1770408,208.8,445.09,456.21,324.7,275.86,0.3045,20
36,2000,192,256,3,0.188,50,2192780,222.2,445.63,466.02,329.12,278.43,0.2765,8
24,2000,192,128,2,0.423,32,764328,118.9,445.78,460.33,322.69,273.88,0.2883,10
3,2000,256,128,2,0.185,100,1140400,90.6,446.35,462.7,327.52,276.82,0.2855,8
28,2000,64,320,1,0.148,100,580272,40.1,446.73,457.97,319.62,271.58,0.2959,4
26,1000,192,64,3,0.463,32,943016,100.2,446.96,483.37,373.69,310.21,0.231,3
44,2000,64,192,1,0.102,100,303280,53.0,447.16,448.16,320.71,273.62,0.3221,9
55,1000,128,128,3,0.496,50,784396,40.2,447.69,477.29,359.25,298.53,0.2471,2
40,4000,64,128,1,0.137,100,213936,43.0,451.54,475.72,345.03,289.47,0.2503,23
6,4000,192,192,3,0.493,32,1606568,190.9,451.79,475.99,342.23,288.85,0.254,3
51,4000,256,320,2,0.248,32,2154920,87.8,451.85,473.91,341.15,285.72,0.2551,1
1,4000,256,192,1,0.339,50,547212,49.5,452.08,472.9,337.5,284.1,0.2578,1
33,4000,100,256,3,0.405,64,1653416,82.7,452.18,476.54,335.68,284.44,0.2491,2
15,8000,64,64,3,0.269,32,279464,23.7,452.21,489.35,360.22,301.62,0.2156,5
48,8000,128,192,3,0.418,50,1199244,104.0,452.22,488.88,361.78,300.28,0.2114,2
32,8000,64,64,3,0.372,32,279464,26.2,452.22,489.53,359.65,298.85,0.2133,6
30,4000,192,128,3,0.22,32,1192872,207.2,452.23,489.41,360.03,301.54,0.2169,14
41,8000,256,192,3,0.236,64,2199528,138.7,452.24,489.62,359.4,298.74,0.2101,1
46,4000,64,320,3,0.388,100,2290352,73.2,453.26,473.51,342.94,290.33,0.2543,1
20,2000,256,192,1,0.389,64,553960,49.6,453.69,459.89,319.31,274.89,0.2919,1
53,4000,64,256,3,0.222,100,1544624,68.0,453.71,474.33,340.25,285.26,0.2533,1
43,4000,128,64,2,0.368,50,368012,19.4,454.08,470.77,344.18,292.36,0.2556,1
16,4000,128,192,1,0.385,64,347112,36.2,454.42,483.26,345.3,288.34,0.2285,1
13,4000,64,320,1,0.209,32,551848,31.4,454.57,473.21,338.03,284.23,0.2574,1
18,4000,64,256,2,0.138,64,972264,50.5,456.28,471.12,338.52,285.92,0.2598,1
4,4000,256,64,2,0.31,100,985008,81.3,458.01,475.68,342.35,287.22,0.2496,8
17,500,128,320,2,0.243,32,1557928,56.9,500.43,388.94,269.03,239.17,0.4568,1
5,500,64,192,3,0.26,100,962736,85.5,512.8,394.92,273.32,243.54,0.4425,1
35,500,64,256,3,0.175,32,1520552,67.8,515.78,399.51,279.65,247.06,0.4307,1
57,500,128,320,2,0.424,64,1573352,57.8,517.14,388.37,269.52,243.74,0.4568,1
