valid_time,point_id,u100,v100,wind_speed_100m,t2m,sp,air_density,blh,power_kW
2024-01-01 08:00:00,1,4.200348,-4.3554077,6.0508265,260.062,83374.625,1.1168618,62.872353,134.9865669994698
2024-01-01 09:00:00,1,3.4623413,-3.8955383,5.211816,260.07437,83391.79,1.1170387,49.28454,82.14884257069059
2024-01-01 10:00:00,1,2.824356,-2.9842224,4.1088405,264.49872,83400.87,1.0984732,40.437416,33.62336223882615
2024-01-01 11:00:00,1,2.1941528,-1.9907379,2.9626582,265.226,83408.625,1.0955628,43.026962,0.0
2024-01-01 12:00:00,1,1.6096497,-1.4772797,2.1847944,267.08698,83373.53,1.0874717,110.23447,0.0
2024-01-01 13:00:00,1,1.5890045,-1.084198,1.9236476,271.9358,83343.97,1.0677025,235.7371,0.0
2024-01-01 14:00:00,1,2.7643738,-1.505722,3.1478503,272.62378,83295.766,1.0643921,359.71213,3.2529008458041546
2024-01-01 15:00:00,1,4.256256,-1.7753296,4.6116714,273.01123,83273.37,1.0625958,524.4406,51.897820581112335
2024-01-01 16:00:00,1,5.5230865,-2.047882,5.890527,273.64307,83295.94,1.0604296,699.10205,118.57867915927064
2024-01-01 17:00:00,1,6.200165,-2.2683868,6.6020923,273.73145,83325.375,1.0604619,813.02124,179.02101307543396
2024-01-01 18:00:00,1,5.900955,-1.4430847,6.074847,269.70337,83387.06,1.0770968,410.8297,131.63970524934427
2024-01-01 19:00:00,1,5.915863,-1.796875,6.1827335,268.54446,83499.86,1.0832083,284.89954,142.600690358181
2024-01-01 20:00:00,1,5.291977,-2.668869,5.926878,267.7655,83573.84,1.0873221,232.43431,123.81510328065802
2024-01-01 21:00:00,1,4.620056,-3.0286713,5.524289,266.9495,83598.83,1.0909718,133.35541,99.4587968713237
2024-01-01 22:00:00,1,4.3142548,-3.5258331,5.5717406,264.85336,83663.69,1.1004592,90.6346,103.26886924580276
2024-01-01 23:00:00,1,3.9131622,-3.2749329,5.102747,262.78052,83649.27,1.1089488,64.921524,74.7321373358264
2024-01-02 00:00:00,1,3.377777,-2.5506592,4.23264,262.74057,83683.42,1.1095701,45.10572,38.94351686755006
2024-01-02 01:00:00,1,2.5866241,-2.4190826,3.5415514,261.35178,83654.54,1.1150813,36.251263,15.788000629536404
2024-01-02 02:00:00,1,1.7948151,-2.362442,2.9668996,260.85123,83651.375,1.1171787,30.805939,0.0
2024-01-02 03:00:00,1,1.268158,-2.667511,2.9536147,260.51947,83625.84,1.11826,29.928598,0.0
2024-01-02 04:00:00,1,0.70210266,-3.0273132,3.1076636,258.6665,83587.195,1.1257502,29.719837,2.1646319510377405
2024-01-02 05:00:00,1,0.25816345,-3.2968292,3.3069217,258.44418,83522.7,1.1258492,29.381268,8.49112983466168
2024-01-02 06:00:00,1,-0.37275696,-3.8924408,3.9102485,257.17438,83469.234,1.1306839,31.870186,27.76506082791692
2024-01-02 07:00:00,1,-0.7544861,-3.484146,3.5649016,257.0111,83419.54,1.1307285,29.41578,16.754110027925336
2024-01-02 08:00:00,1,-1.0484619,-1.8987885,2.1690252,257.4992,83406.09,1.1284034,19.976517,0.0
2024-01-02 09:00:00,1,-1.4821625,-0.71440125,1.6453494,258.26694,83406.016,1.1250479,20.073597,0.0
2024-01-02 10:00:00,1,-1.9903107,-0.34695435,2.0203252,264.91675,83409.17,1.096849,25.71563,0.0
2024-01-02 11:00:00,1,-2.4044647,0.08609009,2.4060054,266.78363,83433.805,1.0894953,37.908474,0.0
2024-01-02 12:00:00,1,-2.6877441,0.508667,2.7354543,270.32068,83420.25,1.0750649,92.05968,0.0
2024-01-02 13:00:00,1,-2.2301025,0.84628296,2.3852782,274.11108,83385.89,1.0597622,196.01617,0.0
2024-01-02 14:00:00,1,-1.0074615,1.4070892,1.7305717,274.1494,83347.68,1.0591285,283.18134,0.0
2024-01-02 15:00:00,1,0.45718384,1.4902191,1.558772,274.09424,83286.0,1.0585577,373.2343,0.0
2024-01-02 16:00:00,1,1.6961212,1.3936768,2.195259,275.48828,83260.0,1.0528724,443.8161,0.0
2024-01-02 17:00:00,1,2.6265717,1.5120544,3.0307074,275.7334,83247.59,1.0517797,426.06174,0.0
2024-01-02 18:00:00,1,4.371765,1.7722778,4.71734,268.74255,83266.58,1.0793859,216.64883,56.8532889826085
2024-01-02 19:00:00,1,5.475189,1.206543,5.6065536,267.17245,83322.31,1.0864558,127.55757,104.08799390439876
2024-01-02 20:00:00,1,5.8850403,0.2730255,5.89137,266.98032,83304.875,1.0870103,113.01189,121.60265543442378
2024-01-02 21:00:00,1,5.7905426,-0.6062622,5.8221936,266.99484,83306.42,1.0869713,98.49995,117.35738566996318
2024-01-02 22:00:00,1,5.912216,-0.8614044,5.9746394,265.3703,83292.055,1.093437,91.97046,127.45688487785256
2024-01-02 23:00:00,1,5.9897614,-1.1265259,6.0947766,264.92178,83235.26,1.0945412,86.19268,135.5600414259151
2024-01-03 00:00:00,1,5.890854,-1.2653351,6.0252166,264.8761,83218.69,1.0945121,79.028076,130.7043907693156
2024-01-03 01:00:00,1,5.9043274,-1.5502472,6.104453,262.7434,83159.0,1.1026049,76.23444,137.50434702656838
2024-01-03 02:00:00,1,6.0470276,-2.0430145,6.382825,262.81775,83144.375,1.1020992,77.94598,164.6322584573404
2024-01-03 03:00:00,1,5.9724426,-2.791336,6.592543,262.88638,83106.09,1.101304,78.34943,184.98368285270485
2024-01-03 04:00:00,1,5.7661743,-3.0515442,6.5238557,262.22144,83062.93,1.1035234,73.251114,178.6384931739087
2024-01-03 05:00:00,1,5.82753,-3.0214539,6.5642433,263.12494,83005.03,1.0989676,72.051216,181.8347947610461
2024-01-03 06:00:00,1,5.6827087,-4.1368103,7.0289674,261.72473,82965.484,1.1043206,73.9127,228.2056043664723
2024-01-03 07:00:00,1,5.816345,-3.2473145,6.6614504,261.76666,82904.73,1.103335,66.53547,192.06312596316164
2024-01-03 08:00:00,1,6.0621796,-2.0906982,6.412569,261.9064,82897.84,1.1026549,66.41569,167.62210432863708
2024-01-03 09:00:00,1,6.178131,-2.0900574,6.522089,262.0077,82942.33,1.10282,70.18183,178.35195329617736
2024-01-03 10:00:00,1,5.936157,-2.2599487,6.351797,267.5274,82932.016,1.0799321,75.83533,158.35112730811758
2024-01-03 11:00:00,1,5.910202,-2.936554,6.599533,268.39966,82943.78,1.0765752,142.27672,181.49698221727093
2024-01-03 12:00:00,1,5.5885773,-3.2856598,6.4828815,268.7014,82952.61,1.0754807,329.41855,170.1933070499323
2024-01-03 13:00:00,1,6.145981,-2.8150024,6.7599792,274.07886,82931.24,1.0541079,496.5474,192.6989871492633
2024-01-03 14:00:00,1,6.804367,-2.5792847,7.2768207,274.36426,82912.78,1.052777,624.88214,246.94768867219076
2024-01-03 15:00:00,1,6.76503,-2.2017212,7.114296,274.63696,82888.8,1.0514275,682.7975,225.978467471041
2024-01-03 16:00:00,1,6.258209,-1.5809631,6.4548144,274.35962,82898.914,1.0526189,688.6155,163.95698971881282
2024-01-03 17:00:00,1,5.7578125,-0.87112427,5.8233376,274.20068,82944.914,1.0538133,639.10876,113.84540000505343
2024-01-03 18:00:00,1,5.1458282,-1.4388885,5.343215,269.39642,82925.97,1.0723615,422.07684,86.81047069836525
2024-01-03 19:00:00,1,3.901596,-1.0299988,4.0352635,268.53894,82977.05,1.0764482,156.55151,30.22822925794315
2024-01-03 20:00:00,1,3.179245,-0.61920166,3.2389827,268.0076,83019.82,1.0791384,102.672775,6.071313246629655
2024-01-03 21:00:00,1,2.1058502,-0.7320099,2.2294493,267.39893,83058.266,1.0820956,59.723682,0.0
2024-01-03 22:00:00,1,1.3274078,-0.636673,1.472197,265.409,83047.82,1.0900717,30.645817,0.0
2024-01-03 23:00:00,1,0.8985596,-0.9093628,1.278417,263.28687,83027.0,1.0985824,27.525768,0.0
2024-01-04 00:00:00,1,0.53430176,-1.5573425,1.646449,263.16122,83018.06,1.0989885,26.814163,0.0
2024-01-04 01:00:00,1,0.2953186,-1.5924072,1.6195598,262.1955,83032.25,1.1032249,23.017492,0.0
2024-01-04 02:00:00,1,0.105026245,-1.1456299,1.150434,261.9427,83014.56,1.1040543,21.674255,0.0
2024-01-04 03:00:00,1,0.2237854,-0.42051697,0.47635537,261.90204,83044.52,1.1046243,20.64181,0.0
2024-01-04 04:00:00,1,0.70355225,0.1542511,0.72026324,260.37195,83006.34,1.1106048,19.831202,0.0
2024-01-04 05:00:00,1,1.3930664,0.14607239,1.4007038,260.42468,82998.0,1.1102684,19.07892,0.0
2024-01-04 06:00:00,1,1.4113464,-3.0101624,3.3246017,261.5047,82972.78,1.1053469,37.196518,8.887605571412655
2024-01-04 07:00:00,1,0.9860382,-3.2313995,3.3784928,259.62534,82942.64,1.1129438,27.94849,10.640083377956582
2024-01-04 08:00:00,1,0.6331024,-1.6522675,1.7694085,259.08496,82998.67,1.1160185,21.34965,0.0
2024-01-04 09:00:00,1,0.7898865,-0.7197571,1.0686303,259.05136,83048.92,1.116839,18.53926,0.0
2024-01-04 10:00:00,1,1.3173828,-0.21855164,1.3353884,264.2753,83094.22,1.0953596,18.43441,0.0
2024-01-04 11:00:00,1,2.1295166,-0.30270386,2.1509233,265.07715,83116.72,1.0923419,28.656984,0.0
2024-01-04 12:00:00,1,2.777298,-0.73361206,2.8725548,265.25574,83128.95,1.0917671,182.94357,0.0
2024-01-04 13:00:00,1,3.959961,-0.19277954,3.9646506,270.47095,83117.95,1.070574,309.48267,27.93143223955685
2024-01-04 14:00:00,1,5.4709167,-0.048858643,5.471135,270.87646,83062.86,1.0682627,439.4734,94.18594693057398
2024-01-04 15:00:00,1,6.642639,-0.45489502,6.658197,271.21313,83036.55,1.0665987,557.77295,185.36069290760352
2024-01-04 16:00:00,1,7.384674,-1.098999,7.466004,272.3147,83049.04,1.0624439,648.5811,273.5073684500569
2024-01-04 17:00:00,1,7.2498474,-1.2910767,7.3639097,272.41602,83089.34,1.0625641,646.23785,260.4273990691319
2024-01-04 18:00:00,1,6.1141663,-0.3328247,6.123218,267.39856,83064.08,1.082173,308.23846,136.7561170832042
2024-01-04 19:00:00,1,6.4978943,-0.18998718,6.500671,266.33478,83089.68,1.0868301,181.43962,173.7029132515869
2024-01-04 20:00:00,1,6.819519,-0.74046326,6.859601,265.75665,83175.53,1.0903198,157.93837,208.94569753398628
2024-01-04 21:00:00,1,6.594757,-2.100586,6.92122,265.1553,83201.28,1.0931308,131.6584,215.45426932488363
2024-01-04 22:00:00,1,6.100647,-3.4687958,7.017865,263.92047,83241.76,1.0987797,108.62463,225.9793991221272
2024-01-04 23:00:00,1,5.7794952,-4.0383606,7.050597,262.7288,83206.8,1.1033,95.89978,230.10975304755573
2024-01-05 00:00:00,1,5.45282,-4.385681,6.9976745,262.5307,83214.95,1.1042407,86.49179,225.1264949613428
2024-01-05 01:00:00,1,5.267929,-4.9711456,7.2431602,261.63733,83210.41,1.1079506,87.08144,255.38231450070177
2024-01-05 02:00:00,1,5.0316315,-5.366913,7.3567023,261.7486,83207.336,1.1074388,85.57346,270.4612127018846
2024-01-05 03:00:00,1,4.840805,-5.3134766,7.1879363,261.8056,83199.13,1.1070884,78.75586,247.79457846080425
2024-01-05 04:00:00,1,4.548752,-4.945221,6.719104,260.0404,83179.234,1.114337,68.23846,199.67232627613623
2024-01-05 05:00:00,1,4.2769165,-4.4084015,6.1421514,260.05768,83167.14,1.1141009,57.36488,142.6604242282743
2024-01-05 06:00:00,1,3.0794983,-6.347,7.054624,258.96423,83117.05,1.1181313,70.3641,233.60210849282615
2024-01-05 07:00:00,1,2.3185883,-5.405258,5.881553,259.13995,83146.21,1.1177652,56.800003,124.42430106755036
2024-01-05 08:00:00,1,1.7200775,-3.288391,3.7110891,259.14456,83142.79,1.1176993,36.833015,21.16880921261523
2024-01-05 09:00:00,1,1.1873016,-1.9806519,2.3092568,259.08646,83168.625,1.1182973,22.500906,0.0
2024-01-05 10:00:00,1,0.85084534,-1.2715912,1.5299941,263.12067,83196.16,1.1015159,20.392456,0.0
2024-01-05 11:00:00,1,0.43998718,-1.2936249,1.3664019,265.89,83235.83,1.0905629,26.842258,0.0
2024-01-05 12:00:00,1,-0.0035858154,-1.5733032,1.5733074,267.18054,83252.36,1.0855108,90.07593,0.0
2024-01-05 13:00:00,1,0.0619812,-0.8998108,0.901943,272.87695,83219.48,1.0624306,221.72282,0.0
2024-01-05 14:00:00,1,1.0588379,-0.32470703,1.1075072,273.12183,83172.49,1.0608788,326.3884,0.0
2024-01-05 15:00:00,1,1.9536285,0.14526367,1.9590217,273.34644,83129.734,1.0594621,412.45703,0.0
2024-01-05 16:00:00,1,2.5163116,0.3618164,2.542191,274.99756,83127.92,1.053078,452.2848,0.0
2024-01-05 17:00:00,1,2.9398499,0.6016998,3.0007932,275.0232,83143.8,1.0531809,438.44046,0.0
2024-01-05 18:00:00,1,2.6912537,0.18728638,2.6977625,268.52588,83124.56,1.0784144,137.77197,0.0
2024-01-05 19:00:00,1,3.000122,0.045410156,3.0004656,267.06412,83192.12,1.0851983,66.46832,0.0
2024-01-05 20:00:00,1,3.1425018,-0.17170715,3.1471894,266.33588,83246.16,1.0888724,54.542557,3.307421632994729
2024-01-05 21:00:00,1,2.424591,-1.2178802,2.7132773,266.1787,83269.33,1.0898186,42.523186,0.0
2024-01-05 22:00:00,1,1.0148468,-2.0484009,2.286014,264.2013,83305.984,1.0984588,31.395456,0.0
2024-01-05 23:00:00,1,-0.48835754,-1.689621,1.7587814,262.7881,83242.41,1.103523,23.301762,0.0
2024-01-06 00:00:00,1,-1.7556915,-0.49499512,1.8241363,261.92416,83258.734,1.10738,24.818233,0.0
2024-01-06 01:00:00,1,-2.809784,0.63153076,2.8798814,262.0171,83253.45,1.1069171,32.944916,0.0
2024-01-06 02:00:00,1,-3.6177673,1.2168884,3.8169436,262.22577,83250.16,1.1059924,43.884388,24.248618994324275
